label,message,length
0,yeah hopefully tyler ca nt could maybe ask around bit,67
0,u nt know stubborn nt even want go hospital kept telling mark m weak sucker hospitals weak sucker,148
0,thinked first time saw class,58
0,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt,124
0,k fyi x ride early tomorrow morning s crashing place tonight,80
0,wow never realized embarassed accomodations thought liked since best could always seemed happy the cave m sorry nt nt give m sorry offered m sorry room embarassing,291
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,120
0,know mallika sherawat yesterday find lt url gt,76
1,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss,161
0,sorry ll call later meeting,34
0,tell reached,22
0,yes gauti sehwag odi series,40
0,gon na pick 1 burger way home ca nt even move pain killing,108
0,ha ha ha good joke girls situation seeker,48
0,part checking iq,25
0,sorry roommate took forever ok come,56
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,110
1,valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589,153
0,today song dedicated day song u dedicate send ur valuable frnds first rply,124
1,urgent ur awarded complimentary trip eurodisinc trav aco entry41 å£1000 claim txt dis 87121 186 å£150 morefrmmob shracomorsglsuplt 10 ls1 3aj,161
1,hear new divorce barbie come ken s stuff,80
0,plane give month end,34
0,wah lucky man save money hee,46
0,finished class,29
0,hi babe im home wan na something xx,45
0,k k performed,42
0,u call,20
0,waiting machan call free,43
0,thats cool gentleman treat dignity respect,73
0,like people much shy pa,50
0,operate lt gt,42
0,still looking job much ta s earn,76
0,sorry ll call later,22
0,k call ah,32
0,ok way home hi hi,32
0,place man,36
0,yup next stop,14
0,call later nt network urgnt sm,55
0,real u getting yo need 2 ticket one jacket m done already used multis,121
0,yes started send request make pain came back m back bed double coin factory got ta cash nitros,144
0,m really still tonight babe,42
0,ela kano il download come wen ur free,41
0,yeah donû÷t stand close tho youû÷ll catch something,62
0,sorry pain ok meet another night spent late afternoon casualty mean nt done stuff42moro includes time sheet sorry,195
0,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling,141
1,please call customer service representative 0800 169 6031 10am9pm guaranteed å£1000 cash å£5000 prize,139
0,havent planning buy later check already lido got 530 show e afternoon u finish work already,107
1,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml,125
0,watching telugu movie wat abt u,33
0,see finish load loan pay,51
0,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u ham,184
0,please nt text anymore nothing else say,57
0,okay name ur price long legal wen pick u ave x am xx,81
0,m still looking car buy gone 4the driving test yet,76
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friend callertune,160
0,wow re right nt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,183
0,umma life vava umma love lot dear,44
0,thanks lot wish birthday thanks making birthday truly memorable,95
0,aight ll hit get cash,43
0,would ip address test considering computer nt minecraft server,82
0,know grumpy old people mom like better lying always one play joke,115
0,dont worry guess s busy,30
0,plural noun research,40
0,going dinnermsg,31
0,m ok wif co like 2 try new thing scared u dun like mah cos u said loud,96
1,gent trying contact last weekend draw show å£1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,159
0,wa ur openin sentence formal anyway m fine juz tt m eatin much n puttin weight haha anythin special happened,143
0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went,156
1,winner u specially selected 2 receive å£1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18,153
0,goodo yes must speak friday eggpotato ratio tortilla needed,72
0,hmm uncle informed s paying school directly pls buy food,86
1,private 2004 account statement 07742676969 show 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires,144
1,urgent mobile awarded å£2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm,157
0,new address apples pair malarky,53
1,todays voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app,156
0,going sao mu today done 12,52
0,ìï predict wat time ì ll finish buying,40
0,good stuff,20
0,know yetunde nt sent money yet sent text bother sending dont involve anything nt imposed anything first place apologise,244
0,room,22
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107
0,k k much cost,28
0,m home,9
0,dear call tmorrowpls accomodate,39
0,first answer question,25
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 å£150 sp tyrone,126
1,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk s largest dogging network bt txting gravel 69888 nt ec2a 31pmsg 150p,162
0,haf msn s yijue hotmailcom,38
0,call meet,34
0,check room befor activity,46
1,ll rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try,155
0,got c lazy type forgot ì lect saw pouch like v nice,86
0,k text re way,33
0,sir waiting mail,27
0,swt thought nver get tired little thing 4 lovable person coz somtimes little thing occupy biggest part hearts gud ni8,158
0,know pls open back,42
0,yes see ya dot,25
0,whats staff name taking class u,48
1,freemsg nt replied text m randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end,159
0,ummmawill call check inour life begin qatar pls pray hard,84
0,k deleted contact,33
0,sindu got job birla soft,30
0,wine flowing m nevering,45
0,yup thk cine better co need 2 go 2 plaza mah,59
0,ok ur typical reply,25
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friend callertune,160
0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one,384
0,aaooooright work,28
0,m leaving house,27
0,hello love get interview today happy good boy think missing,157
1,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery,124
1,winner u specially selected 2 receive å£1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,146
0,keep safe need miss already envy everyone see s real life,115
0,new car house parent new job hand,64
0,m love m excited day spend make happy,85
1,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468,152
1,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu,155
0,place ur point e culture module already,51
1,urgent trying contact last weekend draw show å£900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,157
0,hi frnd best way avoid missunderstding wit beloved one s,74
0,great escape fancy bridge need lager see tomo,67
0,yes completely form clark also utter waste,59
0,sir need axis bank account bank address,50
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao,94
0,time coming later,33
0,bloody hell cant believe forgot surname mr ill give u clue spanish begin,105
0,well m gon na finish bath good fine night,61
0,let know ve got money carlos make call,65
0,u still going mall,26
0,turns friend staying whole show wo nt back til lt gt feel free go ahead smoke lt gt worth,146
0,text doesnt reply let know log,66
0,hi spoke maneesha v d like know satisfied experience reply toll free yes,126
0,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend,159
0,lol u trust,23
0,ok gentleman treat dignity respect,65
0,guy close,24
0,going nothing greatbye,26
0,hello handsome finding job lazy working towards getting back net mummy s boytoy miss,152
0,haha awesome minute,34
1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed å£1000 cash å£5000 prize,149
0,got xmas radio time get,55
0,jus reached home go bathe first si using net tell u finish k,88
1,unique enough find 30th august wwwareyouuniquecouk,72
0,m sorry ve joined league people dont keep touch mean great deal friend time even great personal cost great week,185
0,hi finally completed course,37
0,stop however suggest stay someone able give or every stool,111
0,hope ve settled new school year wishin gr8 day,92
0,gud mrng dear hav nice day,28
0,u got person story,28
0,hamster dead hey tmr meet 1pm orchard mrt,64
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,131
0,found enc lt gt,40
0,sent lt gt buck,28
0,hello darlin ive finished college txt u finish u love kate xxx,84
0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt,174
0,goodmorning sleeping ga,24
0,u call alter 11 ok,25
0,ìï say like dat dun buy ericsson oso oredi lar,64
0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went,156
0,aight yo dat straight dogg,28
0,please give u connection today lt decimal gt refund bill,86
0,shoot big load get ready,39
0,s bruv hope great break rewarding semester,73
0,home always chat,26
0,k k good study well,23
0,yup ì noe leh,24
0,sounds great home,31
0,finally match heading towards draw prediction,58
0,tired nt slept well past night,48
0,easy ah sen got selected mean good,41
0,take exam march 3,32
0,yeah think use gt atm register sure s anyway help let know sure ready,159
0,ok prob take ur time,25
0,o called ubandu run without installing hard disk use o copy important file system give repair shop,161
0,sorry ll call later,22
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,119
1,500 new mobiles 2004 must go txt nokia 89545 collect today å£1 www4tcbiz 2optout 08718726270150gbpmtmsg18,143
0,would really appreciate call need someone talk,69
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries,137
0,hey company elama po mudyadhu,30
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lessons happy morning,165
0,dear good morning,34
0,get gandhipuram walk cross cut road right side lt gt street road turn first right,109
0,dear going rubber place,37
0,sorry battery died yeah m,33
0,yes tv always available work place,48
1,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recd thirtyeight penny,157
0,printed oh lt gt come upstairs,50
0,ill little closer like bus stop street,65
0,wil reach,38
0,new theory argument win situation loses person dont argue ur friend kick amp say m always correct,145
1,u 447801259231 secret admirer looking 2 make contact ufind r reveal think ur specialcall 09058094597,145
0,tomarrow final hearing laptop case cant,51
0,pleassssssseeeeee tel v avent done sportsx,45
0,okay shining meant signing sound better,83
0,although told u dat m baig face watch really like e watch u gave co s fr u thanx 4 everything dat u ve done today m touched,155
0,u nt remember old commercial,37
0,late said website nt dont slipper,78
0,asked call ok,30
0,kallis wont bat 2nd inning,31
0,didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep,146
1,congratulations ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16,150
0,ranjith cal drpd deeraj deepak 5min hold,44
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,179
0,,27
0,ups 3days also shipping company take 2wks way usps take week get lag may bribe nipost get stuff,179
0,m back lem know re ready,38
0,nt necessarily expect done get back though m headin,97
0,mmm yummy babe nice jolt suzy,43
0,lover need,36
1,tried contact reply offer video handset 750 anytime network min unlimited text camcorder reply call 08000930705,154
0,iû÷m parked next mini coming today think,74
0,yup,3
0,anyway m going shopping cos si done yet dun disturb u liao,85
0,luton 0125698789 ring ur around h,51
1,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,121
0,dint come u,26
0,wana plan trip sometme,35
0,sure yet still trying get hold,47
1,ur ringtone service changed 25 free credit go club4mobilescom choose content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt,159
0,evo download flash jealous,47
1,ringtone club get uk single chart mobile week choose top quality ringtone message free charge,133
0,come mu re sorting narcotic situation,53
0,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay,147
1,hmv bonus special 500 pound genuine hmv voucher answer 4 easy question play send hmv 86688 info www100percentrealcom,155
0,usf guess might well take 1 car,37
0,objection bf coming,31
0,thanx,8
0,tell rob mack gf theater,38
0,awesome ll see bit,30
0,sent type food like,47
0,done handed celebrations full swing yet,56
0,got called tool,22
0,wen u miss someone,19
0,ok asked money far,29
0,okie,7
0,yeah think usual guy s still passed last night get ahold anybody let know ll throw,121
0,k might come tonight class let early,58
0,ok,4
0,hi baby im cruisin girl friend r u 2 give call hour home thats alright fone fone love jenny xxx,148
0,life means lot love life love people life world call friend call world ge,160
0,dear shall mail tonitebusy street shall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense,152
0,hey told name gautham ah,37
0,haf u found feel stupid da v cam working,55
0,oops 4 got bit,21
0,much buzy,22
0,accidentally deleted message resend please,50
1,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call 0845 021 3680offer end 28thfebt c s apply,159
0,unless s situation go gurl would appropriate,67
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,153
0,cant pick phone right pls send message,51
0,need coffee run tomo ca nt believe s time week already,67
0,awesome remember last time got somebody high first time diesel v,88
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,157
0,oh way food fridge want go meal tonight,91
0,womdarfull actor,24
1,sms ac blind date 4u rodds1 21m aberdeen united kingdom check http img sm acwicmb3cktz8r7 4 blind dates send hide,146
0,yup remb think book,57
0,jos ask u wana meet,26
0,lol yes friendship hanging thread cause u wo nt buy stuff,71
1,themob check newest selection content games tones gossip babe sport keep mobile fit funky text wap 82468,138
0,garage key nt bookshelf,55
0,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,156
1,think ur smart win å£200 week weekly quiz text play 85222 cs winnersclub po box 84 m26 3uz 16 gbp150week,134
0,say ll give call friend s got money s definitely buying end week,119
0,hi way u 2day normal way real ur unique hope know u 4 rest mylife hope u find wot lost,142
0,made day great day,41
0,kk advance happy pongal,26
0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,119
0,really dude friend m afraid,46
1,december mobile 11mths entitled update latest colour camera mobile free call mobile update co free 08002986906,157
0,coffee cake guess,23
0,merry christmas babe love ya kiss,51
0,hey dont go watch x men lunch haha,62
0,cud u tell ppl im gona b bit l8 co 2 bus hav gon past co full im still waitin 4 1 pete x,107
0,would great ll guild could meet bristol road somewhere get touch weekend plan take flight good week,157
0,problem,30
0,call message missed call,32
0,hi da today class,31
0,d say s good sign well know track record reading woman,79
0,cool text re parked,32
0,m reading text sent meant joke read light,86
0,kk apo kgood movie,22
0,maybe could get book tomo return immediately something,76
1,call germany 1 penny per minute call fixed line via access number 0844 861 85 85 prepayment direct access,128
0,chance might evaporated soon violated privacy stealing phone number employer s paperwork cool please contact report supervisor,232
1,valentines day special win å£1000 quiz take partner trip lifetime send go 83600 150pmsg rcvd custcare08718720201,159
0,tadaaaaa home babe still,45
0,cool come havent wined dined,57
0,sleeping surfing,26
0,sorry ll call later,22
0,u calling right call hand phone,41
0,ok s great thanx lot,28
0,take post come must 1000 text happy reading one wiv hello caroline end favourite bless,151
0,u hiding stranger,29
0,interested like,34
0,sister cleared two round birla soft yesterday,52
0,gudnite tc practice going,33
0,dis yijue jus saw ur mail case huiming havent sent u num dis num,85
0,one small prestige problem,31
1,fancy shag dointerested sextextukcom txt xxuk suzy 69876 txts cost 150 per msg tncs website x,111
0,checking really miss seeing jeremiah great month,78
0,nah ca nt help ve never iphone,50
0,re car hour half m going apeshit,63
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault m basically good,148
0,yo guy ever figure much need alcohol jay trying figure much safely spend weed,129
0,lt gt ish minutes 5 minutes ago wtf,45
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tissco tayseer,202
1,congratulations ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16,150
1,ur cashbalance currently 500 pound maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl,148
0,m actor work work evening sleep late since m unemployed moment always sleep late re unemployed every day saturday,168
0,hello got st andrewsboy long way cold keep posted,85
0,ha ha cool cool chikku chikku db,38
0,oh ok prob,15
0,check audrey s status right,31
0,busy trying finish new year looking forward finally meeting,88
0,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always,160
0,well know z take care worry,50
1,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins 1000 txt orange call mobileupd8 08000839402 call2optoutf4q,165
1,discount code rp176781 stop message reply stop wwwregalportfoliocouk customer services 08717205546,129
0,wat uniform get,26
0,cool text re ready,31
0,hello boytoy geeee miss already woke wish bed cuddling love,129
0,spoil bed well,34
0,m going bath msg next lt gt min,54
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay,162
1,thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer service 09057039994,157
0,say happen,23
0,could seen didt recognise face,53
0,well s lot thing happening lindsay new year sigh bar ptbo blue heron something going,131
0,keep payasam rinu brings,36
0,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake,143
0,guess s worried must know s way body repair m quite sure nt worry ll take slow first test guide ovulation relax nothing ve said reason worry ill keep followin,300
0,yeah sure give couple minute track wallet,59
0,hey leave big deal take care,42
0,hey late ah meet 945,41
1,double min txts 4 6months free bluetooth orange available sony nokia motorola phone call mobileupd8 08000839402 call2optoutn9dx,149
0,took mr owl 3 lick,22
0,customer place call,31
0,mm time dont like fun,30
1,4mths half price orange line rental latest camera phone 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt,155
0,yup lunch buffet u eat already,47
0,huh late fr dinner,25
0,hey sat going intro pilate kickboxing,80
0,morning ok,22
0,yes think office lap room think thats last day didnt shut,115
0,pick bout 730ish time going,56
0,performance award calculated every two monthnot current one month period,102
0,actually sleeping still might u call back text gr8 rock si send u text wen wake,118
0,always putting business put picture as facebook one open people ve ever met would think picture room would hurt make feel violated,221
0,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseer tissco joinedhope fineinshah allah meet sometimerakhesh visitor india,204
0,hmmm k want change field quickly da wan na get system administrator network administrator,114
1,free ringtone text first 87131 poly text get 87131 true tone help 0845 2814032 16 1st free tone 3xå£150pw eå£nd txt stop,158
0,dear chechi talk,39
0,hair cream shipped,36
0,none s happening til get though,48
0,yep great loxahatchee xmas tree burning lt gt start hour,77
0,haha get used driving usf man know lot stoner,60
0,well slightly disastrous class pm fav darling hope day ok coffee wld good ca nt stay late tomorrow time place always,168
0,hello good week fancy drink something later,51
0,headin towards busetop,22
0,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsmscom,152
0,come room point iron plan weekend,75
0,cos want thing,30
0,okies ll go yan jiu skip ard oso go cine den go mrt one blah blah blah,95
0,bring home wendy d,24
1,100 dating service cal l 09064012103 box334sk38ch,49
0,whatsup dont u want sleep,35
0,alright new goal,29
1,free entry å£250 weekly competition text word win 80086 18 c wwwtxttowincouk,107
0,alright ll head minute text meet,66
1,send logo 2 ur lover 2 name joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,159
0,yes last week m taking live call,48
1,someone contacted dating service entered phone fancy find call landline 09111032124 pobox12n146tf150p,162
0,siva hostel aha,24
1,urgent mobile number awarded å£2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs,137
0,send ur friend receive something ur voice speaking expression 1childish 2naughty 3sentiment 4rowdy 5ful attitude 6romantic 7shy 8attractive 9funny lt gt irritating lt gt lovable reply,248
0,ok ll ok guess,25
0,aathi dear,27
0,pain urination thing else,37
0,7 esplanade ì mind giving lift co got car today,69
0,wnt buy bmw car urgently vry urgentbut hv shortage lt gt lacsthere source arng dis amt lt gt lac thats prob,150
0,home watching tv lor,24
0,usually take fifteen fucking minute respond yes question,80
1,congrats nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobile 16 close 300603 post bcm4284 ldn wc1n3xx,157
0,booked ticket pongal,25
0,available m like right around hillsborough amp lt gt th,73
0,message sent askin lt gt dollar shoul pay lt gt lt gt,89
0,ask g iouri ve told story like ten time already,58
0,long applebees fucking take,36
0,hi hope u get txtjourney hasnt gd 50 min late think,76
0,like love arrange,47
0,yes really great bhaji told kallis best cricketer sachin world very tough get,104
0,supposed wake gt,38
0,oic saw tot din c found group liao,69
0,sorry ll call later,22
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,66
0,sorry battery died come m getting gram s place,94
0,well done blimey exercise yeah kinda remember wot hmm,70
0,wont get concentration dear know mind everything,73
0,lol made plan new year,42
0,10 min later k,17
0,hank lotsly,13
0,thanks hope good day today,45
0,k k detail want transfer acc enough,57
0,ok tell stay yeah tough optimistic thing improve month,105
1,loan purpose å£500 å£75000 homeowners tenants welcome previously refused still help call free 0800 1956669 text back help,164
0,si si think ill go make oreo truffle,47
0,look amy ure beautiful intelligent woman like u lot know u donåõt like like donåõt worry,117
0,hope s result consistently intelligent kind start asking practicum link keep ear open best ttyl,158
0,120 call cost guess isnt bad miss ya need ya want ya love ya,79
0,going thru different feelingwavering decision coping individualtime heal everything believe,142
0,u go phone gon na die stay,62
0,great never better day give even reason thank god,71
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 9153 offer end 26th july c s apply optout available,175
0,sorry ll call later ok bye,29
0,ok way railway,29
0,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night,148
0,nt put stuff road keep getting slippery,83
0,going ride bike,37
0,yup need ll jus wait 4 e rain 2 stop,44
0,many company tell language,45
1,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award call 09061743806 landline tcs sae box326 cw25wx 150ppm,161
0,long since screamed princess,50
0,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differbe sure trust 9ja person sending account detail co,298
1,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk s largest dogging network txting moan 69888nyt ec2a 31pmsg 150p,159
0,nice line said broken heart plz nt cum 1 time infront wise trust u good 9t,125
0,ok m gon na head usf like fifteen minute,51
0,love aathi love u lot,28
0,tension ah machi problem,34
0,k pick another 8th re done,46
0,re guy getting back g said thinking staying mcr,81
0,almost see u sec,28
0,yo carlos friend already asking working weekend,90
0,watching tv lor,18
0,thank baby cant wait taste real thing,54
0,change fb jaykwon thuglyfe falconerf,55
0,win really 1 side long time,45
1,free message activate 500 free text messages replying message word free term condition visit www07781482378com,146
0,dear reached railway happen,40
0,depends quality want type sent boye faded glory 6 want ralphs maybe 2,107
0,think ve fixed send test message,50
0,sorry man account s dry would want could trade back half could buy shit credit card,120
1,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss,160
0,sorry meeting ll call later,32
0,class lt gt reunion,34
0,free call,32
0,got meh,16
0,nope think go monday sorry replied late,67
0,told accenture confirm true,55
0,kate jackson rec center 7ish right,43
0,dear reache room,23
0,fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,149
0,ì come,21
0,check nuerologist,23
0,lolnice went fish water,40
1,123 congratulations week s competition draw u å£1450 prize claim call 09050002311 b4280703 csstop sms 08718727868 18 150ppm,170
0,s waiting e car dat s bored wat cos wait outside got nothing 2 home stuff watch tv wat,117
0,maybe westshore hyde park village place near house,62
0,know s anthony bringing money ve school fee pay rent stuff like thats need help friend need,166
0,s significance,24
0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply,136
0,8 latest g s still scrounge ammo want give new ak try,99
0,prabha m soryda realy frm heart m sory,45
0,lol ok forgiven,23
0,jst change tat,25
1,guaranteed latest nokia phone 40gb ipod mp3 player å£500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18,148
0,competition,26
1,boltblue tone 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt,146
1,credit topped http wwwbubbletextcom renewal pin tgxxrz,89
0,way transport le problematic sat night way u want ask n join bday feel free need know definite no booking fri,168
0,usually person unconscious s child adult may behave abnormally ill call,117
0,s ebay might le elsewhere,46
0,shall come get pickle,26
0,gon na go get taco,28
0,s rude campus,32
1,urgent mobile awarded å£2000 bonus caller prize 020903 2nd attempt contact call 08718729755 box95qu,145
0,hi wo nt b ard 4 christmas enjoy n merry xmas,57
1,today s offer claim ur å£150 worth discount voucher text yes 85023 savamob member offer mobile cs 08717898035 å£300 sub 16 unsub reply x,160
0,yes pretty lady like single,42
1,recieve tone within next 24hrs terms condition please see channel u teletext pg 750,111
0,jay say re doublefaggot,36
1,private 2003 account statement 07815296484 show 800 unredeemed sim point call 08718738001 identifier code 41782 expires 181104,146
0,todaysunday sunday holiday work,50
0,gudnite tc practice going,33
0,ll late,15
0,ve called hoping l8r malaria know miss guy miss bani big pls give love especially great day,177
0,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea,160
0,probably gon na see later tonight lt,63
0,maybe fat finger press button nt know,84
0,ummmmmaah many many happy return day dear sweet heart happy birthday dear,84
0,tirupur da started office call,57
1,wwwapplausestorecom monthlysubscription 50pmsg max6month csc web age16 2stop txt stop,96
0,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married,169
0,going college pa else ill come self pa,76
0,4 oclock mine bash flat plan,47
0,girl stay bed girl nt need recovery time id rather pas fun cooped bed,130
0,special,23
0,know need get hotel got invitation apologise cali sweet come english bloke s weddin,149
0,sorry took long omw,32
0,wait lt gt min,22
0,ok give 5 minute think see btw re alibi cutting hair whole time,101
0,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,281
0,hurry ve weeddeficient like three day,54
